DATE,B245RC1Q027SBEA
1958-01-01,1.829
1958-04-01,1.829
1958-07-01,1.829
1958-10-01,1.829
1959-01-01,2.041
1959-04-01,2.111
1959-07-01,2.363
1959-10-01,2.401
1960-01-01,2.5
1960-04-01,2.531
1960-07-01,2.556
1960-10-01,2.557
1961-01-01,2.602
1961-04-01,2.733
1961-07-01,2.886
1961-10-01,2.979
1962-01-01,3.061
1962-04-01,3.137
1962-07-01,3.238
1962-10-01,3.284
1963-01-01,3.329
1963-04-01,3.33
1963-07-01,3.496
1963-10-01,3.573
1964-01-01,3.733
1964-04-01,3.951
1964-07-01,4.139
1964-10-01,4.249
1965-01-01,4.323
1965-04-01,4.38
1965-07-01,4.43
1965-10-01,4.535
1966-01-01,4.847
1966-04-01,5.225
1966-07-01,5.634
1966-10-01,5.982
1967-01-01,5.921
1967-04-01,5.866
1967-07-01,6.199
1967-10-01,6.462
1968-01-01,7.13
1968-04-01,7.608
1968-07-01,8.1
1968-10-01,8.526
1969-01-01,8.94
1969-04-01,9.316
1969-07-01,10.287
1969-10-01,10.533
1970-01-01,10.77
1970-04-01,10.853
1970-07-01,10.979
1970-10-01,11.01
1971-01-01,11.301
1971-04-01,12.164
1971-07-01,12.539
1971-10-01,13.756
1972-01-01,15.911
1972-04-01,17.317
1972-07-01,17.496
1972-10-01,18.064
1973-01-01,18.026
1973-04-01,18.393
1973-07-01,19.099
1973-10-01,19.938
1974-01-01,19.166
1974-04-01,19.938
1974-07-01,20.965
1974-10-01,21.335
1975-01-01,21.43
1975-04-01,22.075
1975-07-01,22.707
1975-10-01,23.6
1976-01-01,24.775
1976-04-01,25.816
1976-07-01,26.73
1976-10-01,27.715
1977-01-01,28.644
1977-04-01,29.799
1977-07-01,30.931
1977-10-01,32.166
1978-01-01,33.365
1978-04-01,34.715
1978-07-01,35.391
1978-10-01,36.453
1979-01-01,36.332
1979-04-01,36.313
1979-07-01,39.551
1979-10-01,40.66
1980-01-01,40.437
1980-04-01,41.734
1980-07-01,43.049
1980-10-01,45.156
1981-01-01,45.985
1981-04-01,47.018
1981-07-01,48.761
1981-10-01,49.884
1982-01-01,50.246
1982-04-01,50.866
1982-07-01,53.064
1982-10-01,53.372
1983-01-01,53.693
1983-04-01,56.542
1983-07-01,60.204
1983-10-01,62.701
1984-01-01,65.049
1984-04-01,67.393
1984-07-01,68.102
1984-10-01,69.34
1985-01-01,70.249
1985-04-01,71.769
1985-07-01,72.181
1985-10-01,74.289
1986-01-01,74.965
1986-04-01,75.357
1986-07-01,77.667
1986-10-01,81.807
1987-01-01,82.077
1987-04-01,90.923
1987-07-01,83.369
1987-10-01,87.467
1988-01-01,88.279
1988-04-01,85.8
1988-07-01,92.491
1988-10-01,95.826
1989-01-01,101.291
1989-04-01,105.833
1989-07-01,102.142
1989-10-01,99.814
1990-01-01,106.638
1990-04-01,109.512
1990-07-01,110.751
1990-10-01,111.475
1991-01-01,107.95
1991-04-01,111.221
1991-07-01,112.227
1991-10-01,115.482
1992-01-01,112.714
1992-04-01,122.258
1992-07-01,121.935
1992-10-01,124.601
1993-01-01,121.765
1993-04-01,123.948
1993-07-01,128.663
1993-10-01,130.524
1994-01-01,131.395
1994-04-01,125.763
1994-07-01,135.082
1994-10-01,136.724
1995-01-01,140.623
1995-04-01,136.122
1995-07-01,144.241
1995-10-01,145.962
1996-01-01,148.999
1996-04-01,149.633
1996-07-01,152.847
1996-10-01,157.825
1997-01-01,160.726
1997-04-01,159.572
1997-07-01,166.757
1997-10-01,171.613
1998-01-01,177.707
1998-04-01,183.227
1998-07-01,183.384
1998-10-01,187.762
1999-01-01,189.319
1999-04-01,190.54
1999-07-01,197.424
1999-10-01,204.845
2000-01-01,212.702
2000-04-01,224.026
2000-07-01,217.048
2000-10-01,215.64
2001-01-01,231.612
2001-04-01,240.092
2001-07-01,212.146
2001-10-01,209.494
2002-01-01,207.451
2002-04-01,193.621
2002-07-01,198.124
2002-10-01,197.94
2003-01-01,196.511
2003-04-01,186.025
2003-07-01,211.548
2003-10-01,217.012
2004-01-01,215.085
2004-04-01,210.441
2004-07-01,223.315
2004-10-01,236.702
2005-01-01,243.7
2005-04-01,244.468
2005-07-01,249.595
2005-10-01,258.465
2006-01-01,268.055
2006-04-01,283.087
2006-07-01,270.879
2006-10-01,274.771
2007-01-01,293.265
2007-04-01,304.777
2007-07-01,292.303
2007-10-01,286.831
2008-01-01,306.578
2008-04-01,334.174
2008-07-01,297.011
2008-10-01,278.513
2009-01-01,254.463
2009-04-01,249.015
2009-07-01,266.493
2009-10-01,265.725
2010-01-01,260.547
2010-04-01,249.717
2010-07-01,269.364
2010-10-01,283.52
2011-01-01,286.578
2011-04-01,290.775
2011-07-01,298.328
2011-10-01,300.675
2012-01-01,300.248
2012-04-01,306.995
2012-07-01,316.237
2012-10-01,328.84
2013-01-01,346.5
2013-04-01,355.687
2013-07-01,336.008
2013-10-01,334.193
2014-01-01,344.977
2014-04-01,337.865
2014-07-01,353.527
2014-10-01,361.103
2015-01-01,363.107
2015-04-01,382.622
2015-07-01,373.317
2015-10-01,378.787
2016-01-01,364.379
2016-04-01,374.322
2016-07-01,382.929
2016-10-01,380.772
2017-01-01,384.565
2017-04-01,368.525
2017-07-01,391.096
2017-10-01,441.025
2018-01-01,449.126
2018-04-01,417.918
2018-07-01,434.179
2018-10-01,418.343
2019-01-01,436.718
2019-04-01,480.742
2019-07-01,444.891
2019-10-01,441.622
2020-01-01,456.564
2020-04-01,459.671
2020-07-01,465.883
2020-10-01,483.309
